epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.26,2.05482,2.07953,0.00264,0.36699,0.29232,0.25288,0.14477,1.91172,1.47387,0.00329,0.000237706,0.000237706,0.000237706
2,724.978,2.01223,1.55029,0.00253,0.44063,0.32151,0.28736,0.16328,1.8802,1.42157,0.00324,0.000466287,0.000466287,0.000466287
3,1073.66,2.0105,1.51016,0.0025,0.43248,0.32542,0.29509,0.16924,1.88234,1.39923,0.00321,0.000685443,0.000685443,0.000685443
4,1422.23,1.98501,1.46181,0.00248,0.4277,0.34721,0.31523,0.18478,1.84581,1.37362,0.00312,0.000671588,0.000671588,0.000671588
5,1772.65,1.97836,1.43812,0.00245,0.44855,0.36205,0.32989,0.18991,1.86563,1.38494,0.00311,0.000657451,0.000657451,0.000657451
6,2120.81,1.96611,1.40267,0.00241,0.47225,0.36553,0.34708,0.19806,1.84501,1.31099,0.00311,0.000643314,0.000643314,0.000643314
7,2469.82,1.95347,1.37764,0.00239,0.47527,0.37581,0.35567,0.20595,1.80723,1.28175,0.00303,0.000629177,0.000629177,0.000629177
8,2818.24,1.94624,1.35667,0.00234,0.47971,0.3703,0.34897,0.2039,1.82206,1.31696,0.00304,0.00061504,0.00061504,0.00061504
9,3164.97,1.9272,1.33261,0.00233,0.49358,0.38852,0.37903,0.22061,1.80776,1.27293,0.003,0.000600902,0.000600902,0.000600902
10,3515.04,1.90869,1.31897,0.00231,0.48631,0.38089,0.37257,0.21821,1.81517,1.28381,0.00302,0.000586765,0.000586765,0.000586765
11,3861.93,1.9126,1.30571,0.00229,0.50372,0.38468,0.38059,0.22394,1.78584,1.27225,0.00296,0.000572628,0.000572628,0.000572628
12,4213.45,1.90794,1.29408,0.00226,0.5029,0.40637,0.39385,0.23076,1.77172,1.22857,0.00293,0.000558491,0.000558491,0.000558491
13,4563.04,1.89649,1.28214,0.00225,0.5099,0.40427,0.39328,0.23225,1.76607,1.23167,0.00291,0.000544354,0.000544354,0.000544354
14,4909.78,1.87757,1.26509,0.00223,0.51838,0.40546,0.39724,0.23507,1.76564,1.21648,0.00291,0.000530216,0.000530216,0.000530216
15,5260.62,1.8732,1.2462,0.00221,0.52822,0.4113,0.40209,0.23962,1.75763,1.2261,0.00292,0.000516079,0.000516079,0.000516079
16,5608.27,1.8651,1.24296,0.00221,0.51178,0.41417,0.40447,0.23876,1.75806,1.21708,0.00288,0.000501942,0.000501942,0.000501942
17,5954.82,1.861,1.23355,0.00218,0.529,0.41548,0.41148,0.24203,1.75918,1.19954,0.00287,0.000487805,0.000487805,0.000487805
18,6303.64,1.84348,1.22078,0.00218,0.5187,0.4156,0.40947,0.24363,1.74462,1.20075,0.00286,0.000473668,0.000473668,0.000473668
19,6653.79,1.84942,1.21963,0.00218,0.53158,0.41252,0.4098,0.24348,1.75513,1.21779,0.00285,0.00045953,0.00045953,0.00045953
20,6999.44,1.83561,1.19953,0.00215,0.5259,0.42222,0.41469,0.24572,1.74378,1.18865,0.00285,0.000445393,0.000445393,0.000445393
21,7348.82,1.83037,1.19758,0.00215,0.53596,0.41966,0.41783,0.24787,1.7426,1.18979,0.00284,0.000431256,0.000431256,0.000431256
22,7700.99,1.82596,1.18713,0.00213,0.53402,0.42648,0.42396,0.2522,1.72334,1.17687,0.0028,0.000417119,0.000417119,0.000417119
23,8049.56,1.82285,1.17923,0.00211,0.54511,0.42364,0.41915,0.24908,1.72335,1.17544,0.00282,0.000402982,0.000402982,0.000402982
24,8392.99,1.81472,1.16889,0.0021,0.52581,0.42804,0.42355,0.25155,1.72887,1.16958,0.0028,0.000388844,0.000388844,0.000388844
25,8740.27,1.79977,1.16254,0.0021,0.54316,0.4334,0.43153,0.25657,1.72147,1.16859,0.0028,0.000374707,0.000374707,0.000374707
26,9089.67,1.80667,1.16016,0.00208,0.54087,0.43253,0.43185,0.25652,1.71592,1.15622,0.00279,0.00036057,0.00036057,0.00036057
27,9434.31,1.78697,1.13331,0.00206,0.54322,0.43244,0.43141,0.25652,1.71741,1.1584,0.00278,0.000346433,0.000346433,0.000346433
28,9780.67,1.78135,1.1292,0.00203,0.5593,0.44173,0.43973,0.26076,1.71166,1.15131,0.00276,0.000332296,0.000332296,0.000332296
29,10129.3,1.78041,1.12425,0.00204,0.56102,0.43601,0.4376,0.26178,1.70828,1.14972,0.00276,0.000318158,0.000318158,0.000318158
30,10477.6,1.7754,1.11841,0.00204,0.56511,0.43745,0.4417,0.26244,1.70019,1.14533,0.00274,0.000304021,0.000304021,0.000304021
31,10825.9,1.77684,1.11805,0.00202,0.55792,0.43644,0.44328,0.26468,1.7001,1.14188,0.00274,0.000289884,0.000289884,0.000289884
32,11172.1,1.7616,1.10229,0.00202,0.56429,0.43704,0.44407,0.26586,1.70046,1.14114,0.00273,0.000275747,0.000275747,0.000275747
33,11522.6,1.7601,1.10004,0.00199,0.55919,0.44021,0.44158,0.26468,1.69924,1.14297,0.00272,0.00026161,0.00026161,0.00026161
34,11866.7,1.75354,1.09209,0.00201,0.57373,0.44185,0.44794,0.26796,1.69203,1.1384,0.00272,0.000247472,0.000247472,0.000247472
35,12220.8,1.74724,1.07986,0.00197,0.56341,0.45021,0.44768,0.26796,1.69385,1.14156,0.00272,0.000233335,0.000233335,0.000233335
36,12577.9,1.74645,1.0809,0.00197,0.54781,0.44429,0.44423,0.26618,1.69062,1.13734,0.00271,0.000219198,0.000219198,0.000219198
37,12925.7,1.73378,1.07403,0.00197,0.56179,0.44732,0.45135,0.26975,1.6895,1.13027,0.00271,0.000205061,0.000205061,0.000205061
38,13277.1,1.73884,1.06783,0.00195,0.57173,0.4443,0.45033,0.26984,1.68303,1.13362,0.00269,0.000190924,0.000190924,0.000190924
39,13624.8,1.72984,1.05971,0.00194,0.56655,0.45359,0.45336,0.27038,1.68187,1.1295,0.00269,0.000176786,0.000176786,0.000176786
40,13976.2,1.71085,1.04307,0.00193,0.55821,0.45293,0.45342,0.27188,1.67791,1.12603,0.00268,0.000162649,0.000162649,0.000162649
41,14319.1,1.67191,1.01724,0.00202,0.56203,0.44571,0.44851,0.26794,1.68428,1.13677,0.0027,0.000148512,0.000148512,0.000148512
42,14651.8,1.65577,1.00335,0.002,0.56426,0.44579,0.44924,0.26793,1.68366,1.13602,0.0027,0.000134375,0.000134375,0.000134375
43,14988.7,1.65541,0.99686,0.00199,0.56998,0.45156,0.4531,0.27016,1.68086,1.13183,0.00269,0.000120238,0.000120238,0.000120238
44,15323.3,1.6515,0.99269,0.00198,0.56291,0.45188,0.45423,0.27207,1.67769,1.12981,0.00268,0.0001061,0.0001061,0.0001061
45,15657.4,1.65252,0.98678,0.00198,0.56592,0.45205,0.45417,0.2715,1.67787,1.13192,0.00268,9.19632e-05,9.19632e-05,9.19632e-05
46,15990.8,1.63643,0.97751,0.00197,0.57174,0.44792,0.4526,0.27047,1.67905,1.13185,0.00267,7.7826e-05,7.7826e-05,7.7826e-05
47,16324,1.62844,0.96901,0.00196,0.57089,0.45175,0.45449,0.27257,1.67619,1.12655,0.00267,6.36888e-05,6.36888e-05,6.36888e-05
48,358.513,1.70648,1.03454,0.00189,0.56333,0.45718,0.45755,0.27499,1.66999,1.12395,0.00265,4.95516e-05,4.95516e-05,4.95516e-05
49,708.614,1.6884,1.01606,0.00188,0.57026,0.45467,0.45816,0.27474,1.66975,1.12449,0.00265,3.54144e-05,3.54144e-05,3.54144e-05
50,1051.2,1.69529,1.01969,0.00188,0.56985,0.45663,0.4595,0.27633,1.66859,1.12406,0.00265,2.12772e-05,2.12772e-05,2.12772e-05
